date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,kinsa_cases,hospitalization,n_visits,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,recovered,hospitalizedIncrease,deathIncrease,deathCumulative
2020-03-07,202010,X,US,62.0,49.0,127.0,25.0,21.0,-7.0,6.9342129074654775,0.8575585943611728,0.8628810070169485,0.1,520.0,3192.0,3712.0,0.0,0.0,0.0,0.0,16.0,16.0
2020-03-14,202011,X,US,32.0,97.0,141.0,-27.0,-12.0,7.0,6.978340400102459,0.8293957505397878,0.8244648746762686,0.6,3203.0,24317.0,27520.0,0.0,0.0,0.0,0.0,39.0,55.0
2020-03-21,202012,X,US,-159.0,65.0,15.0,-200.0,-178.0,78.0,6.602126956404701,0.8150639922395718,0.6895741870743531,2.4,23626.0,150268.0,173894.0,0.0,0.0,0.0,1964.0,397.0,452.0
2020-03-28,202013,X,US,-291.0,-99.0,-81.0,-330.0,-290.0,122.0,3.5525441717996205,0.8322120349219262,0.5529303691460868,6.4,97448.0,464289.0,561737.0,1139.0,5265.0,5814.0,11785.0,2433.0,2885.0
2020-04-04,202014,X,US,-294.0,-105.0,-111.0,-350.0,-321.0,129.0,1.5850754347384846,0.9144006008073348,0.5019766987139284,8.3,183937.0,720021.0,903958.0,3793.0,27571.0,53658.0,24220.0,7948.0,10833.0
2020-04-11,202015,X,US,-306.0,-98.0,-96.0,-365.0,-338.0,135.0,0.685677794040658,0.9029946490596742,0.44087686030296097,8.3,213998.0,815757.0,1029755.0,29529.0,70659.0,156298.0,20967.0,13508.0,24341.0
2020-04-18,202016,X,US,-310.0,-135.0,-154.0,-358.0,-325.0,131.0,0.3001018580014591,0.7691742028350596,0.38138184447609,8.4,201297.0,823282.0,1024579.0,41926.0,100809.0,318012.0,21964.0,15411.0,39752.0
2020-04-25,202017,X,US,-281.0,-104.0,-60.0,-338.0,-312.0,124.0,0.18151726867687232,0.5095127828018899,0.29359399095396554,5.9,209263.0,1263258.0,1472521.0,38075.0,105069.0,614555.0,18199.0,14002.0,53754.0
2020-05-02,202018,X,US,-245.0,-70.0,12.0,-312.0,-298.0,107.0,0.09512923123845857,0.14053259066871107,0.05924562270805511,,192409.0,1415115.0,1607524.0,33808.0,71683.0,1019624.0,24761.0,12614.0,66368.0
2020-05-09,202019,X,US,,,,,,,,,,,197105.0,1985218.0,2182323.0,45984.0,84192.0,1569765.0,20920.0,12288.0,78656.0
